Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
TP53,Tumor Protein P53,Protein Coding,61,GC17M007661,20.8703289,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53
CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,Protein Coding,57,GC09M021967,17.07285309,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A
CDKN1A,Cyclin Dependent Kinase Inhibitor 1A,Protein Coding,55,GC06P096237,15.07467079,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A
SIRT1,Sirtuin 1,Protein Coding,56,GC10P067884,13.61633205,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1
RSL1D1,Ribosomal L1 Domain Containing 1,Protein Coding,46,GC16M011833,12.30299664,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RSL1D1
TERT,Telomerase Reverse Transcriptase,Protein Coding,58,GC05M001253,11.72027683,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT
RB1,RB Transcriptional Corepressor 1,Protein Coding,55,GC13P048303,9.956045151,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1
PML,PML Nuclear Body Scaffold,Protein Coding,53,GC15P073994,9.828280449,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PML
SIRT6,Sirtuin 6,Protein Coding,52,GC19M004174,9.537726402,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT6
MAPK14,Mitogen-Activated Protein Kinase 14,Protein Coding,58,GC06P096228,8.452673912,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14
ATM,ATM Serine/Threonine Kinase,Protein Coding,60,GC11P108222,8.077105522,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM
TERF2,Telomeric Repeat Binding Factor 2,Protein Coding,48,GC16M069355,7.997393608,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERF2
BMI1,"BMI1 Proto-Oncogene, Polycomb Ring Finger",Protein Coding,50,GC10P022326,7.941822052,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMI1
CDK2,Cyclin Dependent Kinase 2,Protein Coding,58,GC12P055966,7.705119133,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK2
LMNA,Lamin A/C,Protein Coding,56,GC01P156082,7.189686298,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA
CDKN1B,Cyclin Dependent Kinase Inhibitor 1B,Protein Coding,54,GC12P025212,7.180072784,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B
E2F1,E2F Transcription Factor 1,Protein Coding,50,GC20M033675,7.076982498,https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F1
EZH2,Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit,Protein Coding,60,GC07M148807,6.642397881,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZH2
ID1,Inhibitor Of DNA Binding 1,Protein Coding,47,GC20P031605,6.632345676,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ID1
NUAK1,NUAK Family Kinase 1,Protein Coding,50,GC12M106063,6.577661514,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUAK1
MDM2,MDM2 Proto-Oncogene,Protein Coding,59,GC12P068808,6.533864975,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2
TBX2,T-Box Transcription Factor 2,Protein Coding,52,GC17P061399,6.406557083,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX2
MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,59,GC22M021759,6.405554295,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1
IL6,Interleukin 6,Protein Coding,58,GC07P022725,6.36448288,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6
WRN,WRN RecQ Like Helicase,Protein Coding,53,GC08P031033,6.264081001,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRN
SP1,Sp1 Transcription Factor,Protein Coding,52,GC12P053380,6.23933506,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1
PTEN,Phosphatase And Tensin Homolog,Protein Coding,59,GC10P095599,6.226773262,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN
CDK6,Cyclin Dependent Kinase 6,Protein Coding,59,GC07M092604,6.191534042,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK6
PHB1,Prohibitin 1,Protein Coding,53,GC17M054664,6.081864357,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHB1
YPEL3,Yippee Like 3,Protein Coding,40,GC16M039239,6.074756622,https://www.genecards.org/cgi-bin/carddisp.pl?gene=YPEL3
CDK4,Cyclin Dependent Kinase 4,Protein Coding,61,GC12M058560,6.041193962,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4
CGAS,Cyclic GMP-AMP Synthase,Protein Coding,42,GC06M075513,6.036756039,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGAS
UBN1,Ubinuclein 1,Protein Coding,45,GC16P014569,5.843232155,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBN1
LMNB1,Lamin B1,Protein Coding,53,GC05P126776,5.761406422,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNB1
TBX3,T-Box Transcription Factor 3,Protein Coding,49,GC12M114670,5.726718903,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX3
MYC,"MYC Proto-Oncogene, BHLH Transcription Factor",Protein Coding,59,GC08P127735,5.606288433,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC
H2AX,H2A.X Variant Histone,Protein Coding,50,GC11M119333,5.274683952,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2AX
HMGA2,High Mobility Group AT-Hook 2,Protein Coding,50,GC12P065824,5.259921551,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGA2
JUN,"Jun Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,55,GC01M058780,5.166465282,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN
MIR34A,MicroRNA 34a,RNA Gene,25,GC01M009154,5.143914223,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A
MTOR,Mechanistic Target Of Rapamycin Kinase,Protein Coding,62,GC01M011106,5.140905857,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR
ZNF277,Zinc Finger Protein 277,Protein Coding,41,GC07P112206,5.134860516,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF277
IFI16,Interferon Gamma Inducible Protein 16,Protein Coding,49,GC01P158969,5.128835201,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFI16
IGFBP7,Insulin Like Growth Factor Binding Protein 7,Protein Coding,53,GC04M057030,5.08967638,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP7
POT1,Protection Of Telomeres 1,Protein Coding,48,GC07M124822,5.021889687,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POT1
STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,61,GC17M042313,4.938486099,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3
MAPK3,Mitogen-Activated Protein Kinase 3,Protein Coding,56,GC16M039242,4.912012577,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3
TERC,Telomerase RNA Component,RNA Gene,31,GC03M169765,4.896507263,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERC
CAV1,Caveolin 1,Protein Coding,55,GC07P116524,4.895680428,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAV1
CSNK2A1,Casein Kinase 2 Alpha 1,Protein Coding,57,GC20M000472,4.882792473,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2A1
ZKSCAN3,Zinc Finger With KRAB And SCAN Domains 3,Protein Coding,40,GC06P028349,4.85500288,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZKSCAN3
CDKN2B,Cyclin Dependent Kinase Inhibitor 2B,Protein Coding,53,GC09M022002,4.813723564,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B
ING1,Inhibitor Of Growth Family Member 1,Protein Coding,50,GC13P110712,4.764518261,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ING1
CXCL8,C-X-C Motif Chemokine Ligand 8,Protein Coding,50,GC04P073740,4.759189606,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8
ULK3,Unc-51 Like Kinase 3,Protein Coding,48,GC15M074836,4.747453213,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ULK3
HIRA,Histone Cell Cycle Regulator,Protein Coding,50,GC22M019330,4.678508759,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIRA
RELA,"RELA Proto-Oncogene, NF-KB Subunit",Protein Coding,59,GC11M065653,4.669553757,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA
NFKB1,Nuclear Factor Kappa B Subunit 1,Protein Coding,60,GC04P102501,4.651750565,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1
PNPT1,Polyribonucleotide Nucleotidyltransferase 1,Protein Coding,50,GC02M055634,4.641192436,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPT1
KDM6B,Lysine Demethylase 6B,Protein Coding,52,GC17P007834,4.629673958,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM6B
HRAS,"HRas Proto-Oncogene, GTPase",Protein Coding,59,GC11M004801,4.585995197,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS
UBTD1,Ubiquitin Domain Containing 1,Protein Coding,38,GC10P097498,4.532196522,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBTD1
SIRT7,Sirtuin 7,Protein Coding,48,GC17M081911,4.528045654,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT7
IL1A,Interleukin 1 Alpha,Protein Coding,52,GC02M112773,4.507576466,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A
TERF1,Telomeric Repeat Binding Factor 1,Protein Coding,48,GC08P073003,4.474333286,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERF1
TGFB1,Transforming Growth Factor Beta 1,Protein Coding,60,GC19M041301,4.437852383,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1
CCNA2,Cyclin A2,Protein Coding,52,GC04M121816,4.412137508,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNA2
FOS,"Fos Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,57,GC14P075278,4.403800488,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS
RBL2,RB Transcriptional Corepressor Like 2,Protein Coding,52,GC16P053433,4.373216152,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBL2
TWIST1,Twist Family BHLH Transcription Factor 1,Protein Coding,52,GC07M019020,4.355564117,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TWIST1
RBL1,RB Transcriptional Corepressor Like 1,Protein Coding,48,GC20M036996,4.343736172,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBL1
RXRA,Retinoid X Receptor Alpha,Protein Coding,56,GC09P134317,4.308180809,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRA
MAPK8,Mitogen-Activated Protein Kinase 8,Protein Coding,57,GC10P048306,4.274439335,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8
MAPK10,Mitogen-Activated Protein Kinase 10,Protein Coding,56,GC04M085990,4.257852077,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK10
RNF114,Ring Finger Protein 114,Protein Coding,44,GC20P049936,4.230255127,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF114
FOXO1,Forkhead Box O1,Protein Coding,56,GC13M040555,4.212730408,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXO1
MORF4,Mortality Factor 4 (Pseudogene),Pseudogene,16,GC04M173615,4.115152359,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MORF4
MRE11,"MRE11 Homolog, Double Strand Break Repair Nuclease",Protein Coding,55,GC11M103736,4.094299316,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRE11
ASF1A,Anti-Silencing Function 1A Histone Chaperone,Protein Coding,46,GC06P118894,4.074936867,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASF1A
ETS1,"ETS Proto-Oncogene 1, Transcription Factor",Protein Coding,53,GC11M128458,4.069792747,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETS1
IGF1,Insulin Like Growth Factor 1,Protein Coding,55,GC12M102395,4.037310123,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1
MDM4,MDM4 Regulator Of P53,Protein Coding,52,GC01P204516,4.019221306,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM4
HSPA9,Heat Shock Protein Family A (Hsp70) Member 9,Protein Coding,54,GC05M138554,4.015968323,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA9
ACD,ACD Shelterin Complex Subunit And Telomerase Recruitment Factor,Protein Coding,48,GC16M067658,4.005951405,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACD
H1-4,"H1.4 Linker Histone, Cluster Member",Protein Coding,49,GC06P097022,3.991867304,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H1-4
BRAF,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,60,GC07M140745,3.985108614,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF
AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,61,GC14M104769,3.9804492,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1
NOX4,NADPH Oxidase 4,Protein Coding,50,GC11M089324,3.953811646,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOX4
FBXO5,F-Box Protein 5,Protein Coding,43,GC06M152970,3.93047142,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXO5
HDAC1,Histone Deacetylase 1,Protein Coding,57,GC01P032292,3.907356739,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC1
TINF2,TERF1 Interacting Nuclear Factor 2,Protein Coding,48,GC14M024621,3.883601427,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TINF2
NPM1,Nucleophosmin 1,Protein Coding,57,GC05P171387,3.838515282,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPM1
TXN,Thioredoxin,Protein Coding,52,GC09M110243,3.817907095,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXN
LBR,Lamin B Receptor,Protein Coding,54,GC01M225401,3.806976795,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LBR
EP300,E1A Binding Protein P300,Protein Coding,59,GC22P047611,3.798685551,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300
PRKAA1,Protein Kinase AMP-Activated Catalytic Subunit Alpha 1,Protein Coding,54,GC05M040759,3.798587322,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAA1
HSPA4,Heat Shock Protein Family A (Hsp70) Member 4,Protein Coding,49,GC05P133054,3.792211533,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA4
RBBP4,"RB Binding Protein 4, Chromatin Remodeling Factor",Protein Coding,51,GC01P032651,3.786134243,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBBP4
FOXM1,Forkhead Box M1,Protein Coding,50,GC12M002857,3.776566982,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXM1
SMARCB1,"SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily B, Member 1",Protein Coding,53,GC22P023786,3.769500971,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCB1
MAP3K5,Mitogen-Activated Protein Kinase Kinase Kinase 5,Protein Coding,55,GC06M136557,3.766844749,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K5
SRF,Serum Response Factor,Protein Coding,50,GC06P043171,3.754463434,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRF
SELENOH,Selenoprotein H,Protein Coding,35,GC11P058224,3.754339218,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELENOH
NFE2L2,NFE2 Like BZIP Transcription Factor 2,Protein Coding,58,GC02M177227,3.749748707,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2
